last_name,first_name,tv_name,id,country,gender,seed,seedValue,bio_image,birth_date,birth_place,residence,height,weight,plays,turned_pro,country_long,singles_rank,doubles_rank,career-prize-money,events_entered/0/event_id,events_entered/0/event_name,events_entered/0/seed,maxServe,timeOnCourt,featureImage,events_entered/1/event_id,events_entered/1/event_name,events_entered/1/seed,events_entered/2/event_id,events_entered/2/event_name,events_entered/2/seed
Bagnis,Facundo,F. Bagnis,atpbf23,ARG,M,false,,atpbf23.jpg,27 February 1990,"Rosario, Argentina","Buenos Aires, Argentina"," 6' 0"" / 1.83 meters",180 lbs. / 81.6 kilos,Left,2008,Argentina,67,202,"2,055,275",MS,Men's Singles,,129 MPH,08:30,,MD,Men's Doubles,,,,
Bailly,Pierre Yves,P. Bailly,itf800460903,BEL,M,false,,itf800460903.jpg, 0 ,,, ,,,,Belgium,,,,BS,Junior Boys' Singles,,121 MPH,07:09,,,,,,,
Baldi,Filippo,F. Baldi,atpbm03,ITA,M,false,,atpbm03.jpg,10 January 1996,"Milan, Italy","Vigevano, Italy"," 6' 0"" / 1.83 meters",176 lbs. / 79.8 kilos,Right,2012,Italy,331,910,"288,737",MQ,Men's Qual Singles,,-,01:50,,,,,,,
Bambridge,Luke,L. Bambridge,atpbk05,GBR,M,false,,atpbk05.jpg,21 January 1995,"Nottingham, England","Nottingham, England"," 6' 3"" / 1.91 meters",190 lbs. / 86.2 kilos,Right,2013,United Kingdom,0,70,"548,895",MD,Men's Doubles,,-,01:03,,,,,,,
Banerjee,Samir,S. Banerjee,atpb0i6,USA,M,false,,atpb0i6.jpg, 0 ,,, ,,,,United States of America,,,,MQ,Men's Qual Singles,,121 MPH,07:04,,BS,Junior Boys' Singles,2,BD,Junior Boys' Doubles,2
Barrios Vera,Marcelo Tomas,M. Barrios Vera,atpbs86,CHI,M,false,,atpbs86.jpg,10 December 1997,"Chillan, Chile","Santiago, Chile"," 6' 3"" / 1.91 meters",194 lbs. / 88.0 kilos,Right,2019,Chile,159,261,"258,732",MQ,Men's Qual Singles,,-,01:59,,,,,,,
Barten,Bryan,B. Barten,itf800210704,USA,M,false,,itf800210704.jpg,08 October 1973,Hart; USA,Tucson; USA, ,,Right,,United States of America,10,11,,US,WC Quad Singles,,67 MPH,01:48,,UD,WC Quad Doubles,,,,
Basilashvili,Nikoloz,N. Basilashvili,atpbg23,GEO,M,false,,atpbg23.jpg,23 February 1992,"Tbilisi, Georgia","Tbilisi, Georgia"," 6' 1"" / 1.85 meters",174 lbs. / 78.9 kilos,Right,2008,Georgia,35,363,"6,698,762",MS,Men's Singles,,131 MPH,05:13,https://images.usopen.org/ix-events-usta-players/action/atpbg23.jpg,,,,,,
Bautista Agut,Roberto,R. Bautista Agut,atpbd06,ESP,M,true,18,atpbd06.jpg,14 April 1988,"Castellon de la Plana, Spain","Castellon de la Plana, Spain"," 6' 0"" / 1.83 meters",165 lbs. / 74.8 kilos,Right,2005,Spain,18,0,"14,690,334",MS,Men's Singles,18,118 MPH,07:23,https://images.usopen.org/ix-events-usta-players/action/atpbd06.jpg,,,,,,
Bedene,Aljaz,A. Bedene,atpbh09,SLO,M,false,,atpbh09.jpg,18 July 1989,"Ljubljana, Slovenia","London, England"," 6' 0"" / 1.83 meters",161 lbs. / 73.0 kilos,Right,2008,Slovenia,79,434,"4,771,942",,,,-,-,,,,,,,
Behar,Ariel,A. Behar,atpbd52,URU,M,false,,atpbd52.jpg,12 November 1989,"Montevideo, Uruguay","Montevideo, Uruguay"," 5' 11"" / 1.80 meters",176 lbs. / 79.8 kilos,Right,2006,Uruguay,0,51,"424,236",MD,Men's Doubles,,-,01:54,,,,,,,
Bemelmans,Ruben,R. Bemelmans,atpbe54,BEL,M,false,,atpbe54.jpg,14 January 1988,"Genk, Belgium","Maasmechelen, Belgium"," 6' 0"" / 1.83 meters",165 lbs. / 74.8 kilos,Left,2006,Belgium,221,200,"2,185,415",MQ,Men's Qual Singles,,-,04:32,,,,,,,
Berankis,Ricardas,R. Berankis,atpbe90,LTU,M,false,,atpbe90.jpg,21 June 1990,"Vilnius, Lithuania","Vilnius, Lithuania"," 5' 9"" / 1.75 meters",170 lbs. / 77.1 kilos,Right,2007,Lithuania,107,238,"4,185,783",MS,Men's Singles,,121 MPH,05:48,,MD,Men's Doubles,,,,
Bergs,Zizou,Z. Bergs,atpbu13,BEL,M,false,,atpbu13.jpg,03 June 1999,"Lommel, Belgium","Pelt, Belgium"," 6' 2"" / 1.88 meters",187 lbs. / 84.8 kilos,Right,2018,Belgium,191,465,"143,155",MQ,Men's Qual Singles,,-,03:36,,,,,,,
Bernard,Alexander,A. Bernard,atpb0i0,USA,M,false,,atpb0i0.jpg,13 August 2003,,, ,,,,United States of America,2054,0,990,BS,Junior Boys' Singles,16,118 MPH,03:59,,BD,Junior Boys' Doubles,4,,,
Berrettini,Matteo,M. Berrettini,atpbk40,ITA,M,true,6,atpbk40.jpg,12 April 1996,"Rome, Italy","Monte Carlo, Monaco"," 6' 5"" / 1.96 meters",209 lbs. / 94.8 kilos,Right,2015,Italy,7,210,"8,112,112",MS,Men's Singles,6,141 MPH,15:28,https://images.usopen.org/ix-events-usta-players/action/atpbk40.jpg,,,,,,
Bielinskyi,Viacheslav,V. Bielinskyi,atpb0ll,UKR,M,false,,atpb0ll.jpg,02 December 2003,,, ,,,,Ukraine,1996,2223,"1,188",BS,Junior Boys' Singles,7,120 MPH,07:26,,BD,Junior Boys' Doubles,8,,,
Blanch,Dali,D. Blanch,atpb0jp,USA,M,false,,atpb0jp.jpg,05 March 2003,,, ,,,,United States of America,1491,1670,"1,722",BS,Junior Boys' Singles,13,131 MPH,02:00,,BD,Junior Boys' Doubles,4,,,
Blanch,Ulises,U. Blanch,atpbv27,USA,M,false,,atpbv27.jpg,25 March 1998,"San Juan, Puerto Rico","Orlando, FL, USA"," 6' 2"" / 1.88 meters",172 lbs. / 78.0 kilos,Right,2016,United States of America,256,903,"257,902",MQ,Men's Qual Singles,,-,02:49,,,,,,,
Bolelli,Simone,S. Bolelli,atpba98,ITA,M,false,,atpba98.jpg,08 October 1985,"Bologna, Italy","Monte Carlo, Monaco"," 6' 0"" / 1.83 meters",182 lbs. / 82.6 kilos,Right,2003,Italy,904,29,"5,639,137",MD,Men's Doubles,14,-,02:51,,,,,,,
Bolt,Alex,A. Bolt,atpbi81,AUS,M,false,,atpbi81.jpg,05 January 1993,"Murray Bridge, Australia","Murray Bridge, Australia"," 6' 0"" / 1.83 meters",185 lbs. / 83.9 kilos,Left,2011,Australia,146,450,"1,266,294",,,,-,-,,,,,,,
Bonzi,Benjamin,B. Bonzi,atpbm95,FRA,M,false,,atpbm95.jpg,09 June 1996,"Nimes, France","Anduze, France"," 6' 0"" / 1.83 meters",180 lbs. / 81.6 kilos,Right,2015,France,76,175,"877,383",MQ,Men's Qual Singles,1,-,02:29,,,,,,,
Bopanna,Rohan,R. Bopanna,atpb757,IND,M,false,,atpb757.jpg,04 March 1980,"Bangalore, India","Bangalore, India"," 6' 4"" / 1.93 meters",185 lbs. / 83.9 kilos,Right,2003,India,0,44,"4,638,547",MD,Men's Doubles,13,-,06:39,,,,,,,
Borg,Leo,L. Borg,atpb0jg,SWE,M,false,,atpb0jg.jpg,15 May 2003,"Stockholm, Sweden","Stockholm, Sweden"," 6' 0"" / 1.83 meters",169 lbs. / 76.7 kilos,Right,,Sweden,2141,0,"8,620",BS,Junior Boys' Singles,,133 MPH,03:15,,BD,Junior Boys' Doubles,,,,
Bourgue,Mathias,M. Bourgue,atpbk19,FRA,M,false,,atpbk19.jpg,18 January 1994,"Avignon, France","Avignon, France"," 6' 2"" / 1.88 meters",183 lbs. / 83.0 kilos,Right,,France,190,756,"746,093",MQ,Men's Qual Singles,,-,02:36,,,,,,,
Brkic,Tomislav,T. Brkic,atpbe68,BIH,M,false,,atpbe68.jpg,09 March 1990,"Mostar, Bosnia & Herzegovina","Ljubuski, Bosnia & Herzegovina"," 6' 1"" / 1.85 meters",176 lbs. / 79.8 kilos,Right,2008,Bosnia and Herzegovina,812,52,"442,724",MD,Men's Doubles,,-,03:11,,,,,,,
Broady,Liam,L. Broady,atpbi23,GBR,M,false,,atpbi23.jpg,04 January 1994,"Stockport, England","Stockport, England"," 6' 0"" / 1.83 meters",172 lbs. / 78.0 kilos,Left,2014,United Kingdom,145,264,"981,209",MQ,Men's Qual Singles,25,-,02:33,,,,,,,
Brooksby,Jenson,J. Brooksby,atpb0cd,USA,M,false,,atpb0cd.jpg,26 October 2000,"Sacramento, CA, USA","Carmichael, CA, USA"," 6' 4"" / 1.93 meters",183 lbs. / 83.0 kilos,Right,2021,United States of America,81,0,"695,835",MS,Men's Singles,,121 MPH,14:54,,,,,,,
Bublik,Alexander,A. Bublik,atpbk92,KAZ,M,true,31,atpbk92.jpg,17 June 1997,"Gatchina, Russia","Sestroretsk, Russia"," 6' 5"" / 1.96 meters",180 lbs. / 81.6 kilos,Right,2016,Kazakhstan,34,48,"2,863,115",MS,Men's Singles,31,139 MPH,05:27,https://images.usopen.org/ix-events-usta-players/action/atpbk92.jpg,,,,,,
Bueno,Gonzalo,G. Bueno,atpb0gr,PER,M,false,,atpb0gr.jpg,03 April 2004,,, ,,,,Peru,0,2051,"1,280",BS,Junior Boys' Singles,12,117 MPH,02:08,,BD,Junior Boys' Doubles,5,,,
Buse,Ignacio,I. Buse,atpb0id,PER,M,false,,atpb0id.jpg,25 March 2004,,, ,,,,Peru,0,2028,304,BS,Junior Boys' Singles,,119 MPH,04:15,,BD,Junior Boys' Doubles,,,,
Butvilas,Edas,E. Butvilas,itf800499285,LTU,M,false,,itf800499285.jpg, 0 ,,, ,,,,Lithuania,,,,BS,Junior Boys' Singles,,127 MPH,02:42,,BD,Junior Boys' Doubles,,,,
Cabal,Juan-Sebastian,J. Cabal,atpc834,COL,M,false,,atpc834.jpg,25 April 1986,"Cali, Colombia","Cali, Colombia"," 6' 1"" / 1.85 meters",181 lbs. / 82.1 kilos,Right,2005,Colombia,0,13,"4,470,211",MD,Men's Doubles,5,-,02:12,,,,,,,
Cacic,Nikola,N. Cacic,atpcc54,SRB,M,false,,atpcc54.jpg,07 December 1990,"Banja Luka, Bosnia-Herzegovina","Belgrade, Serbia"," 6' 0"" / 1.83 meters",165 lbs. / 74.8 kilos,Right,2007,Serbia,1546,40,"653,278",MD,Men's Doubles,,-,05:41,,XD,Mixed Doubles,,,,
Cagnina,Julien,J. Cagnina,atpcg32,BEL,M,false,,atpcg32.jpg,04 June 1994,Liège,Liège," 6' 0"" / 1.83 meters",158 lbs. / 71.7 kilos,Right,,Belgium,760,582,"97,893",,,,-,-,,,,,,,
Carballes Baena,Roberto,R. Carballes Baena,atpcf59,ESP,M,false,,atpcf59.jpg,23 March 1993,"Tenerife, Spain","Granada, Spain"," 6' 0"" / 1.83 meters",170 lbs. / 77.1 kilos,Right,2011,Spain,91,198,"2,640,361",MS,Men's Singles,,127 MPH,05:11,,,,,,,
Carreno Busta,Pablo,P. Carreno Busta,atpcd85,ESP,M,true,9,atpcd85.jpg,12 July 1991,"Gijon, Spain","Barcelona, Spain"," 6' 2"" / 1.88 meters",172 lbs. / 78.0 kilos,Right,2009,Spain,16,201,"12,059,121",MS,Men's Singles,9,127 MPH,03:33,https://images.usopen.org/ix-events-usta-players/action/atpcd85.jpg,,,,,,
Caruso,Salvatore,S. Caruso,atpce25,ITA,M,false,,atpce25.jpg,15 December 1992,"Avola, Italy","Avola, Italy"," 6' 1"" / 1.85 meters",176 lbs. / 79.8 kilos,Right,2010,Italy,125,176,"1,718,446",MS,Men's Singles,,122 MPH,02:40,,,,,,,
Cecchinato,Marco,M. Cecchinato,atpcf01,ITA,M,false,,atpcf01.jpg,30 September 1992,"Palermo, Italy","Brescia, Italy"," 6' 1"" / 1.85 meters",171 lbs. / 77.6 kilos,Right,2010,Italy,84,437,"4,189,202",MS,Men's Singles,,123 MPH,03:01,https://images.usopen.org/ix-events-usta-players/action/atpcf01.jpg,,,,,,
Celikbilek,Altug,A. Celikbilek,atpch05,TUR,M,false,,atpch05.jpg,07 September 1996,"Antalya, Turkey","Istanbul, Turkey"," 6' 0"" / 1.83 meters",162 lbs. / 73.5 kilos,Right,2015,Turkey,170,397,"231,515",MQ,Men's Qual Singles,,-,01:15,,,,,,,
Cerundolo,Francisco,F. Cerundolo,atpc0au,ARG,M,false,,atpc0au.jpg,13 August 1998,"Buenos Aires, Argentina","Buenos Aires, Argentina"," 6' 1"" / 1.85 meters",173 lbs. / 78.5 kilos,Right,2018,Argentina,104,371,"365,541",MQ,Men's Qual Singles,2,-,06:06,,,,,,,
Chardy,Jeremy,J. Chardy,atpca12,FRA,M,false,,atpca12.jpg,12 February 1987,"Pau, France","London, England"," 6' 2"" / 1.88 meters",165 lbs. / 74.8 kilos,Right,2005,France,72,58,"10,535,763",MS,Men's Singles,,130 MPH,07:13,,MD,Men's Doubles,,,,
Chen,Derrick,D. Chen,atpc0ga,GBR,M,false,,atpc0ga.jpg, 0 ,,, ,,,,United Kingdom,,,,BQ,Boys' Qual Singles,,-,00:56,,,,,,,
Cid Subervi,Roberto,R. Cid Subervi,atpcf88,DOM,M,false,,atpcf88.jpg,30 August 1993,Santo Domingo,"Tampa, FL"," 6' 4"" / 1.93 meters",180 lbs. / 81.6 kilos,Right,,Dominican Republic,281,321,"224,027",MQ,Men's Qual Singles,,-,01:44,,,,,,,
Cilic,Marin,M. Cilic,atpc977,CRO,M,true,30,atpc977.jpg,28 September 1988,"Medjugorje, Bosnia-Herzegovina","Monte Carlo, Monaco"," 6' 6"" / 1.98 meters",196 lbs. / 88.9 kilos,Right,2005,Croatia,40,237,"29,030,865",MS,Men's Singles,30,132 MPH,03:39,https://images.usopen.org/ix-events-usta-players/action/atpc977.jpg,,,,,,
Colak,Ozan,O. Colak,atpc0hx,USA,M,false,,atpc0hx.jpg,31 March 2004,Kalamazoo,United States," 6' 1"" / 1.85 meters",165 lbs. / 74.8 kilos,Right,,United States of America,1921,0,754,BS,Junior Boys' Singles,,125 MPH,02:39,,BD,Junior Boys' Doubles,2,,,
Colby,Ryan,R. Colby,itf800523264,USA,M,false,,itf800523264.jpg, 0 ,,, ,,,,United States of America,,,,BS,Junior Boys' Singles,,119 MPH,04:59,,BD,Junior Boys' Doubles,,,,
Collarini,Andrea,A. Collarini,atpcc66,ARG,M,false,,atpcc66.jpg,31 January 1992,"New York, NY, USA","Buenos Aires, Argentina"," 6' 1"" / 1.85 meters",176 lbs. / 79.8 kilos,Left,2010,Argentina,241,1624,"439,933",MQ,Men's Qual Singles,,-,02:17,,,,,,,
Copil,Marius,M. Copil,atpca99,ROU,M,false,,atpca99.jpg,17 October 1990,"Arad, Romania","Bucharest, Romania"," 6' 4"" / 1.93 meters",192 lbs. / 87.1 kilos,Right,2008,Romania,250,418,"2,620,809",MQ,Men's Qual Singles,,-,03:37,,,,,,,
Coppejans,Kimmer,K. Coppejans,atpcg33,BEL,M,false,,atpcg33.jpg,07 February 1994,"Oostende, Belgium","Lummen, Belgium"," 5' 11"" / 1.80 meters",150 lbs. / 68.0 kilos,Right,2012,Belgium,209,312,"819,757",MQ,Men's Qual Singles,,-,01:22,,,,,,,
Coria,Federico,F. Coria,atpce77,ARG,M,false,,atpce77.jpg,09 March 1992,"Rosario, Argentina","Buenos Aires, Argentina"," 5' 11"" / 1.80 meters",161 lbs. / 73.0 kilos,Right,2010,Argentina,61,254,"1,215,904",MS,Men's Singles,,124 MPH,02:28,,MD,Men's Doubles,,,,
Cosnet,Charlelie,C. Cosnet,itf800477519,FRA,M,false,,itf800477519.jpg, 0 ,,, ,,,,France,,,,,,,-,-,,,,,,,
Couacaud,Enzo,E. Couacaud,atpcg94,FRA,M,false,,atpcg94.jpg,01 March 1995,"Curepipe, Mauritius","Paris, France"," 6' 0"" / 1.83 meters",172 lbs. / 78.0 kilos,Right,,France,188,221,"568,007",MQ,Men's Qual Singles,,-,05:36,,,,,,,
Cressy,Maxime,M. Cressy,atpc0bc,USA,M,false,,atpc0bc.jpg,08 May 1997,"Paris, France","Hermosa Beach, CA, USA"," 6' 6"" / 1.98 meters",200 lbs. / 90.7 kilos,Right,2019,United States of America,149,256,"575,110",MS,Men's Singles,,139 MPH,11:47,,MQ,Men's Qual Singles,29,,,
Cuenin,Sean,S. Cuenin,atpc0jx,FRA,M,false,,atpc0jx.jpg,16 February 2004,Toulon,La Garde," 5' 10"" / 1.78 meters",154 lbs. / 69.9 kilos,Right,,France,1499,0,"2,293",BS,Junior Boys' Singles,10,129 MPH,03:51,,BD,Junior Boys' Doubles,3,,,
Cuevas,Pablo,P. Cuevas,atpc882,URU,M,false,,atpc882.jpg,01 January 1986,"Concordia, Argentina","Salto, Uruguay"," 5' 11"" / 1.80 meters",173 lbs. / 78.5 kilos,Right,2004,Uruguay,97,148,"9,465,133",MS,Men's Singles,,120 MPH,03:21,https://images.usopen.org/ix-events-usta-players/action/atpc882.jpg,MD,Men's Doubles,,,,
Dahlberg,Mans,M. Dahlberg,atpd0fm,SWE,M,false,,atpd0fm.jpg, 0 ,,, ,,,,Sweden,,,,BS,Junior Boys' Singles,,130 MPH,04:25,,BD,Junior Boys' Doubles,,,,
Daniel,Taro,T. Daniel,atpda81,JPN,M,false,,atpda81.jpg,27 January 1993,"New York, NY, USA","Bradenton, FL, USA"," 6' 3"" / 1.91 meters",176 lbs. / 79.8 kilos,Right,2010,Japan,112,775,"2,319,077",MS,Men's Singles,,129 MPH,02:02,,,,,,,
Daniell,Marcus,M. Daniell,atpd763,NZL,M,false,,atpd763.jpg,09 November 1989,"Masterton, New Zealand","Barcelona, Spain"," 6' 3"" / 1.91 meters",172 lbs. / 78.0 kilos,Right,2008,New Zealand,0,42,"1,061,737",MD,Men's Doubles,,-,06:54,,XD,Mixed Doubles,,,,
Davidovich Fokina,Alejandro,A. Davidovich Fokina,atpdh50,ESP,M,true,29,atpdh50.jpg,05 June 1999,"Malaga, Spain","Fuengirola, Spain"," 6' 0"" / 1.83 meters",176 lbs. / 79.8 kilos,Right,2017,Spain,44,224,"1,746,603",MS,Men's Singles,29,131 MPH,04:27,https://images.usopen.org/ix-events-usta-players/action/atpdh50.jpg,,,,,,
Davidson,Heath,H. Davidson,itf800255663,AUS,M,false,,itf800255663.jpg,09 May 1987,Melbourne; Australia,Rosebud; Australia, ,,Right,,Australia,7,4,,US,WC Quad Singles,,71 MPH,01:13,,UD,WC Quad Doubles,1,,,
De Jong,Jesper,J. De Jong,atpd0c1,NED,M,false,,atpd0c1.jpg,31 May 2000,Haarlem,"Hoofddorp, The Netherlands"," 5' 11"" / 1.80 meters",154 lbs. / 69.9 kilos,Right,,Netherlands,266,193,"91,056",MQ,Men's Qual Singles,,-,01:36,,,,,,,
de Minaur,Alex,A. de Minaur,atpdh58,AUS,M,true,14,atpdh58.jpg,17 February 1999,"Sydney, Australia","Sydney, Australia"," 6' 0"" / 1.83 meters",152 lbs. / 68.9 kilos,Right,2015,Australia,21,133,"5,582,369",MS,Men's Singles,14,124 MPH,04:07,https://images.usopen.org/ix-events-usta-players/action/atpdh58.jpg,MD,Men's Doubles,,,,
Delbonis,Federico,F. Delbonis,atpd874,ARG,M,false,,atpd874.jpg,05 October 1990,"Azul, Argentina","Azul, Argentina"," 6' 4"" / 1.93 meters",198 lbs. / 89.8 kilos,Left,2007,Argentina,46,196,"5,121,439",MS,Men's Singles,,124 MPH,02:48,https://images.usopen.org/ix-events-usta-players/action/atpd874.jpg,MD,Men's Doubles,,,,
Dellien,Hugo,H. Dellien,atpda31,BOL,M,false,,atpda31.jpg,16 June 1993,"Trinidad, Bolivia","Trinidad, Bolivia"," 5' 11"" / 1.80 meters",165 lbs. / 74.8 kilos,Right,2009,Bolivia,144,396,"1,217,354",MQ,Men's Qual Singles,17,-,03:07,,,,,,,
Demoliner,Marcelo,M. Demoliner,atpd833,BRA,M,false,,atpd833.jpg,18 January 1989,"Caxias do Sul, Brazil","Rio de Janeiro, Brazil"," 6' 4"" / 1.93 meters",190 lbs. / 86.2 kilos,Right,,Brazil,0,53,"1,081,891",MD,Men's Doubles,,-,07:56,,XD,Mixed Doubles,,,,
Diez,Steven,S. Diez,atpd916,CAN,M,false,,atpd916.jpg,17 March 1991,"Toronto, Canada","Llica d'Amunt, Spain"," 5' 9"" / 1.75 meters",160 lbs. / 72.6 kilos,Right,2009,Canada,203,381,"793,185",MQ,Men's Qual Singles,,-,01:03,,,,,,,
Dimitrov,Grigor,G. Dimitrov,atpd875,BUL,M,true,15,atpd875.jpg,16 May 1991,"Haskovo, Bulgaria","Monte Carlo, Monaco"," 6' 3"" / 1.91 meters",179 lbs. / 81.2 kilos,Right,2008,Bulgaria,29,868,"19,948,017",MS,Men's Singles,15,130 MPH,04:21,https://images.usopen.org/ix-events-usta-players/action/atpd875.jpg,,,,,,
Djere,Laslo,L. Djere,atpdb63,SRB,M,false,,atpdb63.jpg,02 June 1995,"Senta, Serbia","Novi Sad, Serbia"," 6' 2"" / 1.88 meters",181 lbs. / 82.1 kilos,Right,2013,Serbia,50,361,"3,031,663",MS,Men's Singles,,127 MPH,04:22,https://images.usopen.org/ix-events-usta-players/action/atpdb63.jpg,MD,Men's Doubles,,,,
Djokovic,Novak,N. Djokovic,atpd643,SRB,M,true,1,atpd643.jpg,22 May 1987,"Belgrade, Serbia","Monte Carlo, Monaco"," 6' 2"" / 1.88 meters",170 lbs. / 77.1 kilos,Right,2003,Serbia,1,190,"153,120,635",MS,Men's Singles,1,129 MPH,19:41,https://images.usopen.org/ix-events-usta-players/action/atpd643.jpg,,,,,,
Dodig,Ivan,I. Dodig,atpd646,CRO,M,false,,atpd646.jpg,02 January 1985,"Medjugorje, Bosnia-Herzegovina","Freeport, Bahamas"," 6' 0"" / 1.83 meters",179 lbs. / 81.2 kilos,Right,2004,Croatia,0,11,"8,018,689",MD,Men's Doubles,13,-,09:46,,XD,Mixed Doubles,1,,,
Domingues,Joao,J. Domingues,atpd985,POR,M,false,,atpd985.jpg,05 October 1993,"Oliveira de Azemeis, Portugal","Porto, Portugal", ,154 lbs. / 69.9 kilos,Right,2013,Portugal,242,629,"453,517",MQ,Men's Qual Singles,,-,01:17,,,,,,,
Dominko,Sebastian,S. Dominko,itf800459711,SLO,M,false,,itf800459711.jpg, 0 ,,, ,,,,Slovenia,,,,BS,Junior Boys' Singles,,132 MPH,05:42,,BD,Junior Boys' Doubles,,BQ,Boys' Qual Singles,11
Donald,Matthew William,M. Donald,itf800478316,CZE,M,false,,itf800478316.jpg, 0 ,,, ,,,,Czech Republic,,,,BD,Junior Boys' Doubles,,-,04:37,,BQ,Boys' Qual Singles,5,,,
Donskoy,Evgeny,E. Donskoy,atpd864,RUS,M,false,,atpd864.jpg,09 May 1990,"Moscow, Russia","Moscow, Russia"," 6' 1"" / 1.85 meters",165 lbs. / 74.8 kilos,Right,2007,Russia,153,525,"3,242,442",MS,Men's Singles,,123 MPH,11:05,,MQ,Men's Qual Singles,30,,,
Duckworth,James,J. Duckworth,atpd994,AUS,M,false,,atpd994.jpg,21 January 1992,"Sydney, Australia","Sydney, Australia"," 6' 0"" / 1.83 meters",181 lbs. / 82.1 kilos,Right,2010,Australia,80,229,"2,413,452",MS,Men's Singles,,132 MPH,06:34,,MD,Men's Doubles,,,,
Dzumhur,Damir,D. Dzumhur,atpd923,BIH,M,false,,atpd923.jpg,20 May 1992,"Sarajevo, Bosnia-Herzegovina","Sarajevo, Bosnia-Herzegovina"," 5' 9"" / 1.75 meters",150 lbs. / 68.0 kilos,Right,2011,Bosnia and Herzegovina,126,814,"4,509,777",MQ,Men's Qual Singles,7,-,03:44,,,,,,,
Ebden,Matthew,M. Ebden,atpe690,AUS,M,false,,atpe690.jpg,26 November 1987,"Durban, South Africa","Perth, Australia"," 6' 2"" / 1.88 meters",176 lbs. / 79.8 kilos,Right,2006,Australia,246,61,"3,697,881",MD,Men's Doubles,,-,08:56,,MQ,Men's Qual Singles,,,,
Egberink,Tom,T. Egberink,itf800273259,NED,M,false,,itf800273259.jpg, 0 ,,, ,,,,Netherlands,,,,CS,WC Men's Singles,,102 MPH,02:24,,CD,WC Men's Doubles,,,,
